
=== distintos: corr(L,R)=+0.0051
  mala         aac_32k                    desf=   0  ref=[+0.9974 +0.0000]  grafo=[0.9974, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9971 +0.9971]  grafo=[0.9971, 0.9971]
  mala         aac_64k                    desf=   0  ref=[+0.9990 +0.0000]  grafo=[0.999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         aac_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  21  ref=[+0.8188 +0.8188]  grafo=[-0.2014, -0.2014]
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2456 +0.2456]  grafo=[-0.4481, -0.4481]
  buena_brutal brutal_8khz                desf=-181  ref=[+0.0111 -0.0111]  grafo=[0.002, -0.0039]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9999]  grafo=[0.9996, 0.9996]
  buena_brutal brutal_opus6k_mono_a_estereo desf=-181  ref=[+0.0111 -0.0111]  grafo=[0.0, -0.0013]

=== flojo: corr(L,R)=-0.0437
  buena        opus_6k                    desf=   6  ref=[+0.8670 -0.0386]  grafo=[0.6556, -0.0353]
  mala         opus_6k                    desf=   6  ref=[+0.8588 -0.0443]  grafo=[0.6393, -0.0389]
  buena        opus_8k                    desf=   6  ref=[+0.9334 -0.0356]  grafo=[0.7099, -0.032]
  mala         opus_8k                    desf=   6  ref=[+0.9339 -0.0447]  grafo=[0.6797, -0.0406]
  buena        opus_16k                   desf=   0  ref=[+0.9839 -0.0350]  grafo=[0.9839, -0.0349]
  mala         opus_16k                   desf=   0  ref=[+0.9837 -0.0429]  grafo=[0.9837, -0.0429]
  buena        opus_32k                   desf=  -2  ref=[+0.9668 +0.4510]  grafo=[0.9404, 0.4608]
  mala         opus_32k                   desf=   0  ref=[+0.9745 +0.0009]  grafo=[0.9745, 0.0009]
  buena        opus_96k                   desf=   0  ref=[+0.9979 +0.9964]  grafo=[0.9979, 0.9964]
  mala         opus_96k                   desf=   0  ref=[+0.9975 +0.0044]  grafo=[0.9975, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.9854 +0.9892]  grafo=[0.9854, 0.9892]
  mala         mp3_32k                    desf=   0  ref=[+0.9917 +0.0000]  grafo=[0.9917, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.9963 +0.9974]  grafo=[0.9963, 0.9974]
  mala         mp3_64k                    desf=   0  ref=[+0.9993 +0.0000]  grafo=[0.9993, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9984 +0.9898]  grafo=[0.9984, 0.9898]
  mala         mp3_q9                     desf=   0  ref=[+0.9984 +0.0000]  grafo=[0.9984, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9385 +0.9385]  grafo=[0.9385, 0.9385]
  mala         aac_32k                    desf=   0  ref=[+0.9974 +0.0000]  grafo=[0.9974, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9691 +0.9887]  grafo=[0.9691, 0.9887]
  mala         aac_64k                    desf=   0  ref=[+0.9990 +0.0000]  grafo=[0.999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.9995 +0.9997]  grafo=[0.9995, 0.9997]
  mala         aac_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  21  ref=[+0.8186 +0.8620]  grafo=[-0.2002, -0.1708]
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2436 +0.1748]  grafo=[-0.4421, -0.4415]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.9789 -0.0371]  grafo=[0.7209, -0.0354]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.5827]  grafo=[0.9996, 0.4223]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.8528 -0.0365]  grafo=[0.6424, -0.031]

=== lo que cuesta NO alinear (r_grafo - r_ref) ===
  528 pares; mediana 0.0; p10 -0.2166; peor caída -1.9785

=== rejilla con r_grafo — celdas que HOY se escapan ===
  corr <     rel>=-100   rel>=-40   rel>=-30   rel>=-20   rel>=-15   rel>=-12    rel>=-9    rel>=-6
  0.008     23/23 FP18 19/23 FP13 19/23 FP13 19/23 FP13 15/23 FP13 15/23 FP13 12/23 FP13 12/23 FP13
